|wav_path|text|emb_id
2|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0194.wav|incluindo o duelo entre o argentino e o inglãƒâªs nas ruas .|expressivo_animado
4|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0219.wav|apãƒâ³s a dãƒâ©cada de 1980 , a corãƒâ©ia conseguiu se identificar .|expressivo_animado
5|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0001.wav|nãƒâ£o pode haver trãƒâ©guas na guerra contra a malãƒâ¡ria .|expressivo_animado
6|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0211.wav|esse ãƒâ© um homem que tinha meu voto .|expressivo_animado
7|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0062.wav|ciãƒâªncia deu a liberaãƒâ§ãƒâ£o para experiãƒâªncias com explosãƒâ£o .|expressivo_animado
10|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0220.wav|ganharam a quina e vãƒâ£o levar um bilhãƒâ£o .|expressivo_animado
11|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0167.wav|lojas do municãƒâ­pio com tecnologia antiterrorismo .|expressivo_animado
12|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0187.wav|laura e cãƒâ©sar entendem os bebãƒâªs dos vizinhos .|expressivo_animado
14|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0173.wav|tinham exames na ãƒâ©poca do globo .|expressivo_animado
18|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0026.wav|os programas audiovisuais melhoraram significativamente a partir de 1991 .|expressivo_animado
21|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0046.wav|utilizar o espaãƒâ§o para protesto contra os parlamentares , uma coisa boa de acontecer .|expressivo_animado
